0
1 2 3 4 
3 4 1 2 
2 1 4 3 
4 3 2 1 
1
1 2 3 4 
3 4 1 2 
2 3 4 1 
4 1 2 3 
2
1 2 3 4 
3 4 1 2 
4 1 2 3 
2 3 4 1 
3
1 2 3 4 
3 4 1 2 
4 3 2 1 
2 1 4 3 
4
1 2 3 4 
3 4 2 1 
2 1 4 3 
4 3 1 2 
5
1 2 3 4 
3 4 2 1 
4 3 1 2 
2 1 4 3 
6
1 2 3 4 
4 3 1 2 
2 1 4 3 
3 4 2 1 
7
1 2 3 4 
4 3 1 2 
3 4 2 1 
2 1 4 3 
8
1 2 3 4 
4 3 2 1 
2 1 4 3 
3 4 1 2 
9
1 2 3 4 
4 3 2 1 
2 4 1 3 
3 1 4 2 
10
1 2 3 4 
4 3 2 1 
3 1 4 2 
2 4 1 3 
11
1 2 3 4 
4 3 2 1 
3 4 1 2 
2 1 4 3 
12
1 2 4 3 
3 4 1 2 
2 1 3 4 
4 3 2 1 
13
1 2 4 3 
3 4 1 2 
4 3 2 1 
2 1 3 4 
14
1 2 4 3 
3 4 2 1 
2 1 3 4 
4 3 1 2 
15
1 2 4 3 
3 4 2 1 
2 3 1 4 
4 1 3 2 
16
1 2 4 3 
3 4 2 1 
4 1 3 2 
2 3 1 4 
17
1 2 4 3 
3 4 2 1 
4 3 1 2 
2 1 3 4 
18
1 2 4 3 
4 3 1 2 
2 1 3 4 
3 4 2 1 
19
1 2 4 3 
4 3 1 2 
2 4 3 1 
3 1 2 4 
20
1 2 4 3 
4 3 1 2 
3 1 2 4 
2 4 3 1 
21
1 2 4 3 
4 3 1 2 
3 4 2 1 
2 1 3 4 
22
1 2 4 3 
4 3 2 1 
2 1 3 4 
3 4 1 2 
23
1 2 4 3 
4 3 2 1 
3 4 1 2 
2 1 3 4 
24
1 3 2 4 
2 4 1 3 
3 1 4 2 
4 2 3 1 
25
1 3 2 4 
2 4 1 3 
3 2 4 1 
4 1 3 2 
26
1 3 2 4 
2 4 1 3 
4 1 3 2 
3 2 4 1 
27
1 3 2 4 
2 4 1 3 
4 2 3 1 
3 1 4 2 
28
1 3 2 4 
2 4 3 1 
3 1 4 2 
4 2 1 3 
29
1 3 2 4 
2 4 3 1 
4 2 1 3 
3 1 4 2 
30
1 3 2 4 
4 2 1 3 
2 4 3 1 
3 1 4 2 
31
1 3 2 4 
4 2 1 3 
3 1 4 2 
2 4 3 1 
32
